'aute	s_ w t e
aclaro	a k l ˈa ɾ o
aclaró	a k l a ɾ ˈo
acogedor	a k o x e ð ˈo ɾ
acogerse	a k o x ˈe ɾ s e
acogido	a k o x ˈi ð o
acogió	a k o x j ˈo
acogotados	a k o ɣ o t ˈa ð o s
acompaña	a k o m p ˈa ɲ a
acompañado	a k o m p a ɲ ˈa ð o
acompañante	a k o m p a ɲ ˈa n t e
acompañar	a k o m p a ɲ ˈa ɾ
acompañe	a k o m p ˈa ɲ e
acompaño	a k o m p ˈa ɲ o
acomódalo	a k o m ˈo ð a l o
aconseja	a k o n s ˈe x a
aconsejable	a k o n s e x ˈa β l e
aconsejamos	a k o n s e x ˈa m o s
aconsejarle	a k o n s e x ˈa ɾ l e
aconsejaría	a k o n s e x a ɾ ˈi a
aconsejo	a k o n s ˈe x o
acontecimientos	a k o n t e θ i m j ˈe n t o s
acoplamos	a k o p l ˈa m o s
acoquines	a k o k ˈi n e s
acordarme	a k o ɾ d ˈa ɾ m e
acordaron	a k o ɾ d ˈa ɾ o n
acorde	a k ˈo ɾ d e
acordé	a k o ɾ d ˈe
acortaron	a k o ɾ t ˈa ɾ o n
acostarse	a k o s t ˈa ɾ s e
acostumbrada	a k o s t u m b ɾ ˈa ð a
acostumbrado	a k o s t u m b ɾ ˈa ð o
acostó	a k o s t ˈo
acotadas	a k o t ˈa ð a s
acreditado	a k ɾ e ð i t ˈa ð o
actitudes	a k t i t ˈu ð e s
activada	a k t i β ˈa ð a
activado	a k t i β ˈa ð o
activar	a k t i β ˈa ɾ
actividad	a k t i β i ð ˈa d
actividades	a k t i β i ð ˈa ð e s
activos	a k t ˈi β o s
acto	ˈa k t o
actores	a k t ˈo ɾ e s
actos	ˈa k t o s
actrices	a k t ɾ ˈi θ e s
actriz	a k t ɾ ˈi θ
actuaciones	a k t w a θ j ˈo n e s
actuación	a k t w a θ j ˈo n
actualidad	a k t w a l i ð ˈa d
actualizados	a k t w a l i θ ˈa ð o s
actualizando	a k t w a l i θ ˈa n d o
actualizarse	a k t w a l i θ ˈa ɾ s e
actualmente	a k t w ˈa l m ˈe n t e
actuar	a k t w ˈa ɾ
actuará	a k t w a ɾ ˈa
actuaste	a k t w ˈa s t e
acuario	a k w ˈa ɾ j o
acude	a k ˈu ð e
acuden	a k ˈu ð e n
acudido	a k u ð ˈi ð o
acudieron	a k u ð j ˈe ɾ o n
acudimos	a k u ð ˈi m o s
acudir	a k u ð ˈi ɾ
acudo	a k ˈu ð o
acudí	a k u ð ˈi
acuerda	a k w ˈe ɾ d a
acuerdas	a k w ˈe ɾ d a s
acuerdes	a k w ˈe ɾ d e s
acuerdo	a k w ˈe ɾ d o
acumulan	a k u m ˈu l a n
acumularse	a k u m u l ˈa ɾ s e
acusación	a k u s a θ j ˈo n
acusado	a k u s ˈa ð o
acuáticas	a k w ˈa t i k a s
acuático	a k w ˈa t i k o
acuáticos	a k w ˈa t i k o s
acuéstate	a k w ˈe s t ˈa t e
acá	a k ˈa
acércate	a θ ˈe ɾ k ˈa t e
adaptación	a ð a p t a θ j ˈo n
adaptados	a ð a p t ˈa ð o s
adaptando	a ð a p t ˈa n d o
adaptarnos	a ð a p t ˈa ɾ n o s
adaptarse	a ð a p t ˈa ɾ s e
adecuada	a ð e k w ˈa ð a
adecuado	a ð e k w ˈa ð o
adelantaremos	a ð e l a n t a ɾ ˈe m o s
adelante	a ð e l ˈa n t e
además	a ð e m ˈa s
adivinanzas	a ð i β i n ˈa n θ a s
adjetivos	a d x e t ˈi β o s
adjunto	a d x ˈu n t o
administración	a d m i n i s t ɾ a θ j ˈo n
admirables	a d m i ɾ ˈa β l e s
admiradla	a d m i ɾ ˈa d l a
admirado	a d m i ɾ ˈa ð o
admirador	a d m i ɾ a ð ˈo ɾ
admiradoras	a d m i ɾ a ð ˈo ɾ a s
admirar	a d m i ɾ ˈa ɾ
admiren	a d m ˈi ɾ e n
admiro	a d m ˈi ɾ o
admisiones	a d m i s j ˈo n e s
admitido	a d m i t ˈi ð o
admito	a d m ˈi t o
admitían	a d m i t ˈi a n
adolescencia	a ð o l e s θ ˈe n θ j a
adolescente	a ð o l e s θ ˈe n t e
adolescentes	a ð o l e s θ ˈe n t e s
adonde	a d o n d e
adoquinada	a ð o k i n ˈa ð a
adoras	a ð ˈo ɾ a s
adoro	a ð ˈo ɾ o
adosado	a ð o s ˈa ð o
adquirí	a d k i ɾ ˈi
adquisición	a d k i s i θ j ˈo n
adulta	a ð ˈu l t a
adulto	a ð ˈu l t o
adultos	a ð ˈu l t o s
adversario	a d b e ɾ s ˈa ɾ j o
adversas	a d b ˈe ɾ s a s
advertencia	a d b e ɾ t ˈe n θ j a
advierte	a d b j ˈe ɾ t e
advierten	a d b j ˈe ɾ t e n
advirtió	a d b i ɾ t j ˈo
adónde	a ð ˈo n d e
aeropuerto	a e ɾ o p w ˈe ɾ t o
afecta	a f ˈe k t a
afectada	a f e k t ˈa ð a
afectadas	a f e k t ˈa ð a s
afectado	a f e k t ˈa ð o
afectados	a f e k t ˈa ð o s
afectan	a f ˈe k t a n
afectar	a f e k t ˈa ɾ
afectarme	a f e k t ˈa ɾ m e
afectivo	a f e k t ˈi β o
afecto	a f ˈe k t o
afeó	a f e ˈo
afianzan	a f j a n θ a n
aficioné	a f i θ j o n ˈe
afilando	a f i l ˈa n d o
afirma	a f ˈi ɾ m a
afirmando	a f i ɾ m ˈa n d o
afirmar	a f i ɾ m ˈa ɾ
aforismo	a f o ɾ ˈi s m o
aforismos	a f o ɾ ˈi s m o s
aforistas	a f o ɾ ˈi s t a s
aforo	a f ˈo ɾ o
afortunadamente	a f o ɾ t u n ˈa ð a m ˈe n t e
afortunado	a f o ɾ t u n ˈa ð o
afortunados	a f o ɾ t u n ˈa ð o s
afrika	a f ɾ i k a
afrontar	a f ɾ o n t ˈa ɾ
afrontaremos	a f ɾ o n t a ɾ ˈe m o s
aftersun	a f t e ɾ s u n
afuera	a f w ˈe ɾ a
afueras	a f w ˈe ɾ a s
agaete	a ɣ a ˈe t e
agarró	a ɣ a r ˈo
agencia	a x ˈe n θ j a
agente	a x ˈe n t e
agentes	a x ˈe n t e s
agitadas	a x i t ˈa ð a s
agitar	a x i t ˈa ɾ
aglomeraciones	a ɣ l o m e ɾ a θ j ˈo n e s
aglomeración	a ɣ l o m e ɾ a θ j ˈo n
aglomerado	a ɣ l o m e ɾ ˈa ð o
agma	ˈa g m a
agobia	a ɣ ˈo β j a
agobiado	a ɣ o β j ˈa ð o
agobiarte	a ɣ o β j ˈa ɾ t e
agobió	a ɣ o β j ˈo
agotador	a ɣ o t a ð ˈo ɾ
agrada	a ɣ ɾ ˈa ð a
agradable	a ɣ ɾ a ð ˈa β l e
agradables	a ɣ ɾ a ð ˈa β l e s
agradan	a ɣ ɾ a ð a n
agradarse	a ɣ ɾ a ð ˈa ɾ s e
agrade	a ɣ ɾ ˈa ð e
agradece	a ɣ ɾ a ð ˈe θ e
agradecemos	a ɣ ɾ a ð e θ ˈe m o s
agradecerle	a ɣ ɾ a ð e θ ˈe ɾ l e
agradecerán	a ɣ ɾ a ð e θ e ɾ ˈa n
agradeceré	a ɣ ɾ a ð e θ e ɾ ˈe
agradecido	a ɣ ɾ a ð e θ ˈi ð o
agradecidos	a ɣ ɾ a ð e θ ˈi ð o s
agradeciendo	a ɣ ɾ a ð e θ j ˈe n d o
agradecimiento	a ɣ ɾ a ð e θ i m j ˈe n t o
agradezco	a ɣ ɾ a ð ˈe θ k o
agrado	a ɣ ɾ ˈa ð o
agravios	a ɣ ɾ ˈa β j o s
agregado	a ɣ ɾ e ɣ ˈa ð o
agregar	a ɣ ɾ e ɣ ˈa ɾ
agregarle	a ɣ ɾ e ɣ ˈa ɾ l e
agrego	a ɣ ɾ ˈe ɣ o
agregues	a ɣ ɾ ˈe ɣ w e s
agregó	a ɣ ɾ e ɣ ˈo
agresividad	a ɣ ɾ e s i β i ð ˈa d
agricultura	a ɣ ɾ i k u l t ˈu ɾ a
agroalimentarias	a ɣ ɾ o a l i m e n t ˈa ɾ j a s
agrupación	a ɣ ɾ u p a θ j ˈo n
agrícolas	a ɣ ɾ ˈi k o l a s
agua	ˈa ɣ w a
aguantan	a ɣ w ˈa n t a n
aguantar	a ɣ w a n t ˈa ɾ
aguas	a ɣ w a s
aguascalientes	a ɣ w a s k a l j ˈe n t e s
aguja	a ɣ ˈu x a
agujero	a ɣ u x ˈe ɾ o
agustina	a ɣ u s t ˈi n a
ah	ˈa
ahogamiento	a o ɣ a m j ˈe n t o
ahogó	a o ɣ ˈo
ahora	a ˈo ɾ a
ahorquen	a o ɾ k e n
ahorrado	a o r ˈa ð o
ahorrar	a o r ˈa ɾ
ahorrará	a o r a ɾ ˈa
ahorras	a ˈo r a s
ahorro	a ˈo r o
ahí	a ˈi
aislado	a j s l ˈa ð o
aislamiento	a j s l a m j ˈe n t o
aislar	a j s l ˈa ɾ
aitkin	a j t k i n
ajardinadas	a x a ɾ d i n ˈa ð a s
ajedrez	a x e ð ɾ ˈe θ
ajena	a x ˈe n a
ajenas	a x ˈe n a s
ajustada	a x u s t ˈa ð a
ajustado	a x u s t ˈa ð o
ajustar	a x u s t ˈa ɾ
ajustarse	a x u s t ˈa ɾ s e
ajuste	a x ˈu s t e
ajustes	a x ˈu s t e s
ajá	a x ˈa
al	ˈa l
alabanzas	a l a β ˈa n θ a s
alardeáis	a l a ɾ d e ˈa j s
alargados	a l a ɾ g ˈa ð o s
alargan	a l ˈa ɾ g a n
alargaron	a l a ɾ g ˈa ɾ o n
alarma	a l ˈa ɾ m a
alarméis	a l a ɾ m ˈe j s
alberga	a l b ˈe ɾ g a
albergar	a l b e ɾ g ˈa ɾ
albéniz	a l b ˈe n ˈi θ
alcachofa	a l k a ʧ ˈo f a
alcalde	a l k ˈa l d e
alcaldes	a l k ˈa l d e s
alcance	a l k ˈa n θ e
alcancé	a l k a n θ ˈe
alcantarillas	a l k a n t a ɾ ˈi ʝ a s
alcanza	a l k ˈa n θ a
alcanzables	a l k a n θ ˈa β l e s
alcanzado	a l k a n θ ˈa ð o
alcanzar	a l k a n θ ˈa ɾ
alcanzo	a l k ˈa n θ o
alcoholizados	a l k o o l i θ ˈa ð o s
alcohólica	a l k o ˈo l i k a
alcázar	a l k ˈa θ a ɾ
aldeanos	a l d e ˈa n o s
aldeas	a l d ˈe a s
aleatorio	a l e a t ˈo ɾ j o
alegra	a l ˈe ɣ ɾ a
alegres	a l ˈe ɣ ɾ e s
alegro	a l ˈe ɣ ɾ o
alegría	a l e ɣ ɾ ˈi a
alegrías	a l e ɣ ɾ ˈi a s
aleja	a l ˈe x a
alejado	a l e x ˈa ð o
alemanes	a l e m ˈa n e s
alemania	a l e m ˈa n j a
alemán	a l e m ˈa n
alentada	a l e n t ˈa ð a
alentara	a l e n t ˈa ɾ a
alerta	a l ˈe ɾ t a
alfabeto	a l f a β ˈe t o
alfabéticas	a l f a β ˈe t i k a s
alfombra	a l f ˈo m b ɾ a
alféizar	a l f ˈe j θ a ɾ
alga	ˈa l g a
algas	ˈa l g a s
algo	ˈa l g o
alguien	ˈa l x e_uien
alguna	a l g ˈu n a
algunas	a l g ˈu n a s
alguno	a l g ˈu n o
algunos	a l g ˈu n o s
algún	a l g ˈu n
alimenta	a l i m ˈe n t a
alimentación	a l i m e n t a θ j ˈo n
alimentos	a l i m ˈe n t o s
aliviar	a l i β j ˈa ɾ
aliviásemos	a l i β j ˈa s e m o s
aliñe	a l ˈi ɲ e
allá	a ʝ ˈa
allí	a ʝ ˈi
almirantazgo	a l m i ɾ a n t ˈa θ g o
almirante	a l m i ɾ ˈa n t e
almudena	a l m u ð ˈe n a
almuerzo	a l m w ˈe ɾ θ o
aloja	a l ˈo x a
alojado	a l o x ˈa ð o
alojamos	a l o x ˈa m o s
alondras	a l ˈo n d ɾ a s
alquilamos	a l k i l ˈa m o s
alquilar	a l k i l ˈa ɾ
alquiler	a l k i l ˈe ɾ
alquileres	a l k i l ˈe ɾ e s
alquílate	a l k ˈi l ˈa t e
alrededor	a l r e ð e ð ˈo ɾ
alrededores	a l r e ð e ð ˈo ɾ e s
altamente	a l t a m ˈe n t e
altas	ˈa l t a s
alterada	a l t e ɾ ˈa ð a
alterado	a l t e ɾ ˈa ð o
alterarse	a l t e ɾ ˈa ɾ s e
alterna	a l t ˈe ɾ n a
alternativas	a l t e ɾ n a t ˈi β a s
alternativo	a l t e ɾ n a t ˈi β o
alteza	a l t ˈe θ a
altmeier	ˈa l m e j ˈe ɾ
altura	a l t ˈu ɾ a
alturas	a l t ˈu ɾ a s
alucinamos	a l u θ i n ˈa m o s
alucinante	a l u θ i n ˈa n t e
alucinarán	a l u θ i n a ɾ ˈa n
alumna	a l ˈu m n a
alumnas	a l ˈu m n a s
alumno	a l ˈu m n o
alumnos	a l ˈu m n o s
alusión	a l u s j ˈo n
am	ˈa m
ama	ˈa m a
amable	a m ˈa β l e
amables	a m ˈa β l e s
amanecer	a m a n e θ ˈe ɾ
amaneceres	a m a n e θ ˈe ɾ e s
amantes	a m ˈa n t e s
amargar	a m a ɾ g ˈa ɾ
amarilla	a m a ɾ ˈi ʝ a
amas	ˈa m a s
amase	a m ˈa s e
ambas	ˈa m b a s
ambiciones	a m b i θ j ˈo n e s
ambicioso	a m b i θ j ˈo s o
ambición	a m b i θ j ˈo n
ambiente	a m b j ˈe n t e
ambientes	a m b j ˈe n t e s
ambos	ˈa m b o s
ambulante	a m b u l ˈa n t e
ambulantes	a m b u l ˈa n t e s
amena	a m ˈe n a
amenaza	a m e n ˈa θ a
amenazaron	a m e n a θ ˈa ɾ o n
ameno	a m ˈe n o
americano	a m e ɾ i k ˈa n o
americanos	a m e ɾ i k ˈa n o s
ametller	a m e t ʝ ˈe ɾ
amistades	a m i s t ˈa ð e s
amo	a m o
amores	a m ˈo ɾ e s
amorosa	a m o ɾ ˈo s a
amortigua	a m o ɾ t ˈi ɣ w a
amplia	a m p l j a
ampliación	a m p l j a θ j ˈo n
ampliado	a m p l j ˈa ð o
ampliamente	a m p l j a m ˈe n t e
ampliar	a m p l j ˈa ɾ
ampliarlo	a m p l j ˈa ɾ l o
ampliarse	a m p l j ˈa ɾ s e
ampliaré	a m p l j a ɾ ˈe
amplio	ˈa m p l j o
amplía	a m p l ˈi a
ampoules	a m p ˈo w l e s
amueblado	a m w e β l ˈa ð o
amé	a m ˈe
américa	a m ˈe ɾ i k a
ana	a n a
analizando	a n a l i θ ˈa n d o
anatómico	a n a t ˈo m i k o
ancestros	a n θ ˈe s t ɾ o s
ancho	ˈa n ʧ o
anciana	a n θ j ˈa n a
anda	ˈa n d a
andaba	a n d ˈa β a
andabas	a n d ˈa β a s
andaluza	a n d a l ˈu θ a
andamios	a n d ˈa m j o s
andan	ˈa n d a n
andando	a n d ˈa n d o
andar	a n d ˈa ɾ
andas	ˈa n d a s
andenes	a n d ˈe n e s
andré	a n d ɾ ˈe
andábamos	a n d ˈa β a m o s
andén	a n d ˈe n
anexas	a n ˈe k s a s
angustia	a n g ˈu s t j a
angustioso	a n g u s t j ˈo s o
anhelos	a n ˈe l o s
anillo	a n ˈi ʝ o
animado	a n i m ˈa ð o
animales	a n i m ˈa l e s
animan	a n ˈi m a n
animo	a n ˈi m o
ann	a n
ano	a n o
anoche	a n ˈo ʧ e
anonadada	a n o n a ð ˈa ð a
anormal	a n o ɾ m ˈa l
anotó	a n o t ˈo
ansiedad	a n s j e ð ˈa d
ansioso	a n s j ˈo s o
antelación	a n t e l a θ j ˈo n
antemano	a n t e m ˈa n o
anteriores	a n t e ɾ j ˈo ɾ e s
anticipa	a n t i θ ˈi p a
anticipadamente	a n t i θ i p ˈa ð a m ˈe n t e
anticipado	a n t i θ i p ˈa ð o
anticipándonos	a n t i θ i p ˈa n d o n o s
antidisturbios	a n t i ð i s t ˈu ɾ b j o s
antiguamente	a n t ˈi ɣ w a m ˈe n t e
antiguas	a n t ˈi ɣ w a s
antiguo	a n t ˈi ɣ w o
antiguos	a n t ˈi ɣ w o s
antigüedad	a n t i ɣ w e ð ˈa d
antigüedades	a n t i ɣ w e ð ˈa ð e s
antipático	a n t i p ˈa t i k o
antoñito	a n t o ɲ ˈi t o
anual	a n w ˈa l
anuales	a n w ˈa l e s
anulan	a n ˈu l a n
anuló	a n u l ˈo
anunciada	a n u n θ j ˈa ð a
anunciadas	a n u n θ j ˈa ð a s
anunciado	a n u n θ j ˈa ð o
anuncio	a n ˈu n θ j o
anzio	ˈa n θ j o
análisis	a n ˈa l i s i s
anécdota	a n ˈe k d o t a
anécdotas	a n ˈe k d o t a s
aníbal	a n ˈi β a l
anímate	a n ˈi m a t e
apabullados	a p a β u ʝ ˈa ð o s
apagado	a p a ɣ ˈa ð o
apagar	a p a ɣ ˈa ɾ
aparca	a p a ɾ k a
aparcamiento	a p a ɾ k a m j ˈe n t o
aparcar	a p a ɾ k ˈa ɾ
aparcaría	a p a ɾ k a ɾ ˈi a
aparcas	a p a ɾ k a s
aparecen	a p a ɾ ˈe θ e n
aparecer	a p a ɾ e θ ˈe ɾ
aparecerá	a p a ɾ e θ e ɾ ˈa
apareció	a p a ɾ e θ j ˈo
aparente	a p a ɾ ˈe n t e
apariencia	a p a ɾ j ˈe n θ j a
apariencias	a p a ɾ j ˈe n θ j a s
apartada	a p a ɾ t ˈa ð a
apartamento	a p a ɾ t a m ˈe n t o
apartamentos	a p a ɾ t a m ˈe n t o s
apartarla	a p a ɾ t ˈa ɾ l a
aparte	a p ˈa ɾ t e
aparto	a p ˈa ɾ t o
apasionada	a p a s j o n ˈa ð a
apasionados	a p a s j o n ˈa ð o s
apellidos	a p e ʝ ˈi ð o s
apenas	a p ˈe n a s
apertura	a p e ɾ t ˈu ɾ a
apetece	a p e t e θ e
apetito	a p e t ˈi t o
aplazamiento	a p l a θ a m j ˈe n t o
aplazamientos	a p l a θ a m j ˈe n t o s
aplica	a p l ˈi k a
aplicación	a p l i k a θ j ˈo n
aplicando	a p l i k ˈa n d o
aplicarán	a p l i k a ɾ ˈa n
apoderé	a p o ð e ɾ ˈe
apoplejía	a p o p l e x ˈi a
aporten	a p ˈo ɾ t e n
apoya	a p ˈo ʝ a
apoyará	a p o ʝ a ɾ ˈa
apoyo	a p ˈo ʝ o
apoyándose	a p o ʝ ˈa n d o s e
app	a p ˈe_pe_
apreciable	a p ɾ e θ j ˈa β l e
apreciado	a p ɾ e θ j ˈa ð o
aprecian	a p ɾ ˈe θ j a n
apreciar	a p ɾ e θ j ˈa ɾ
aprecio	a p ɾ ˈe θ j o
aprende	a p ɾ ˈe n d e
aprender	a p ɾ e n d ˈe ɾ
aprenderán	a p ɾ e n d e ɾ ˈa n
aprenderás	a p ɾ e n d e ɾ ˈa s
aprendido	a p ɾ e n d ˈi ð o
aprendizaje	a p ɾ e n d i θ ˈa x e
apretadas	a p ɾ e t ˈa ð a s
aprieta	a p ɾ j ˈe t a
aprieto	a p ɾ j ˈe t o
aprobadas	a p ɾ o β ˈa ð a s
aprobados	a p ɾ o β ˈa ð o s
aprobando	a p ɾ o β ˈa n d o
aprobar	a p ɾ o β ˈa ɾ
aprobaré	a p ɾ o β a ɾ ˈe
aprobó	a p ɾ o β ˈo
apropiado	a p ɾ o p j ˈa ð o
aprovecha	a p ɾ o β ˈe ʧ a
aprovechamos	a p ɾ o β e ʧ ˈa m o s
aprovechan	a p ɾ o β ˈe ʧ a n
aprovechando	a p ɾ o β e ʧ ˈa n d o
aprovechar	a p ɾ o β e ʧ ˈa ɾ
aprovecho	a p ɾ o β ˈe ʧ o
aproximadamente	a p ɾ o k s i m ˈa ð a m ˈe n t e
aprueba	a p ɾ w ˈe β a
apruebo	a p ɾ w ˈe β o
apuestan	a p w ˈe s t a n
apuesto	a p w ˈe s t o
apunta	a p ˈu n t a
apuntó	a p u n t ˈo
apuros	a p ˈu ɾ o s
aqs	ˈa k u_ˈa
aquel	a k ˈe l
aquella	a k ˈe ʝ a
aquellas	a k ˈe ʝ a s
aquello	a k ˈe ʝ o
aquellos	a k ˈe ʝ o s
aquí	a k ˈi
arañazos	a ɾ a ɲ ˈa θ o s
arbolado	a ɾ b o l ˈa ð o
archivo	a ɾ ʧ ˈi β o
arcón	a ɾ k ˈo n
ardillas	a ɾ d ˈi ʝ a s
argelia	a ɾ x ˈe l j a
argentino	a ɾ x e n t ˈi n o
argentinos	a ɾ x e n t ˈi n o s
argumentos	a ɾ g u m ˈe n t o s
arma	ˈa ɾ m a
armar	a ɾ m ˈa ɾ
armario	a ɾ m ˈa ɾ j o
armonía	a ɾ m o n ˈi a
arnheim	a ɾ n ˈe j m
aro	ˈa ɾ o
arqueológico	a ɾ k e o l ˈo x i k o
arqueológicos	a ɾ k e o l ˈo x i k o s
arquitectura	a ɾ k i t e k t ˈu ɾ a
arquitectónicamente	a ɾ k i t e k t ˈo n i k a m ˈe n t e
arquitectónico	a ɾ k i t e k t ˈo n i k o
arrancará	a r a n k a ɾ ˈa
arrancarán	a r a n k a ɾ ˈa n
arranque	a r ˈa n k e
arrebatársela	a r e β a t ˈa ɾ s e l a
arrecifes	a r e θ ˈi f e s
arregla	a r ˈe ɣ l a
arreglado	a r e ɣ l ˈa ð o
arreglando	a r e ɣ l ˈa n d o
arreglar	a r e ɣ l ˈa ɾ
arreglas	a r ˈe ɣ l a s
arreglaste	a r e ɣ l ˈa s t e
arrendamiento	a r e n d a m j ˈe n t o
arrepentimiento	a r e p e n t i m j ˈe n t o
arrepentimos	a r e p e n t ˈi m o s
arrepentirte	a r e p e n t ˈi ɾ t e
arrestado	a r e s t ˈa ð o
arresten	a r ˈe s t e n
arresto	a r ˈe s t o
arriba	a r ˈi β a
arriesgado	a r j e s g ˈa ð o
arriesgar	a r j e s g ˈa ɾ
arriesgarse	a r j e s g ˈa ɾ s e
arriesgaría	a r j e s g a ɾ ˈi a
arrogante	a r o ɣ ˈa n t e
arrogantes	a r o ɣ ˈa n t e s
arrojar	a r o x ˈa ɾ
arroparme	a r o p ˈa ɾ m e
arroyomolinos	a r ˈo ʝ o m o l ˈi n o s
arroyos	a r ˈo ʝ o s
arroz	a r ˈo θ
arrugas	a r ˈu ɣ a s
arruinado	a r w i n ˈa ð o
arruinados	a r w i n ˈa ð o s
arruinar	a r w i n ˈa ɾ
arte	ˈa ɾ t e
artes	a ɾ t e s
artesanas	a ɾ t e s ˈa n a s
artesanía	a ɾ t e s a n ˈi a
arti	a ɾ t i
artista	a ɾ t ˈi s t a
artistas	a ɾ t ˈi s t a s
artículo	a ɾ t ˈi k u l o
artículos	a ɾ t ˈi k u l o s
arácnidos	a ɾ ˈa k n i ð o s
asadero	a s a ð ˈe ɾ o
asaltadas	a s a l t ˈa ð a s
ascenso	a s θ ˈe n s o
ascensor	a s θ e n s ˈo ɾ
asciende	a s θ j ˈe n d e
asegura	a s e ɣ ˈu ɾ a
aseguraban	a s e ɣ u ɾ ˈa β a n
asegurado	a s e ɣ u ɾ ˈa ð o
aseguradoras	a s e ɣ u ɾ a ð ˈo ɾ a s
asegurados	a s e ɣ u ɾ ˈa ð o s
aseguran	a s e ɣ ˈu ɾ a n
aseguraos	a s e ɣ u ɾ ˈa o s
asegurarme	a s e ɣ u ɾ ˈa ɾ m e
